"UO - Órgão Superior",,"Função Governo",,"Subfunção Governo",,"Ação Governo",,"JAN/2018","FEV/2018","MAR/2018","JAN/2017","FEV/2017","MAR/2017","ABR/2017","MAI/2017","JUN/2017","JUL/2017","AGO/2017","SET/2017","OUT/2017","NOV/2017","DEZ/2017","JAN/2016","FEV/2016","MAR/2016","ABR/2016","MAI/2016","JUN/2016","JUL/2016","AGO/2016","SET/2016","OUT/2016","NOV/2016","DEZ/2016"
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","368","EDUCACAO BASICA","12KV","IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES","","12.525.698,99","947.744,57","","","11.462.780,49","263.320,46","13.722.922,16","2.069.699,19","18.070.335,70","16.358.787,22","285.032,57","17.139.501,48","682.499,04","40.795.709,41","73.917.700,73","36.911.351,58","36.445.192,25","17.825.800,21","21.010.260,40","47.685.635,81","3.206.191,87","36.882.575,80","22.427.707,20","10.768.885,15","4.506.717,81","86.778.627,37"
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","368","EDUCACAO BASICA","20RP","APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA","","","","","","","","","","","","","","","","118.711.645,05","100.600.953,74","106.401.077,84","37.955.878,76","50.371.294,37","127.142.330,23","11.354.114,88","55.956.384,25","68.067.570,88","45.436.224,85","26.801.381,96","581.804.438,19"
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","812","DESPORTO COMUNITARIO","12KV","IMPLANTACAO E ADEQUACAO DE ESTRUTURAS ESPORTIVAS ESCOLARES","","332.578,64","0,00","","","247.026,96","0,00","58.783,77","157.565,15","170.151,04","297.108,46","0,00","420.911,78","0,00","1.603.451,69","1.753.824,68","1.007.538,67","1.068.819,04","96.851,06","801.849,35","2.091.079,14","106.980,31","659.070,94","505.523,74","164.846,67","50.959,51","1.937.554,21"
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","847","TRANSFERENCIAS PARA A EDUCACAO BASICA","0509","APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA","","","","","","","","","","","313.635,72","0,00","0,00","0,00","554.597,24","","328.510,90","153.468,37","0,00","0,00","556.280,96","0,00","0,00","153.581,76","0,00","0,00","8.298.386,00"
"26000","MINISTERIO DA EDUCACAO","12","EDUCACAO","847","TRANSFERENCIAS PARA A EDUCACAO BASICA","0E53","AQUISICAO DE VEICULOS PARA O TRANSPORTE ESCOLAR DA EDUCACAO","","","","","","4.300.764,00","1.382.750,00","2.618.153,40","1.959.150,00","0,00","641.940,00","0,00","831.660,00","270.000,00","28.466.280,00","28.538.830,00","40.968.300,40","46.981.646,60","0,00","0,00","17.111.505,00","0,00","0,00","0,00","0,00","2.850.000,00","184.056.638,40"
"32000","MINISTERIO DE MINAS E ENERGIA","25","ENERGIA","121","PLANEJAMENTO E ORCAMENTO","20LH","ESTUDOS PARA EXPANSAO DA MALHA DE GASODUTOS","65.200,00","65.200,00","147.300,00","","46.000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","90.033,83","0,00","27.000,00","0,00","63.000,00","0,00","0,00","0,00","0,00","146.489,08"
"32000","MINISTERIO DE MINAS E ENERGIA","25","ENERGIA","122","ADMINISTRACAO GERAL","8785","GESTAO E COORDENACAO DO PROGRAMA DE ACELERACAO DO CRESCIMENT","323.599,20","108.576,46","165.931,01","34.426,60","76.241,74","104.892,55","20.549,52","225.218,56","264.009,65","431.043,15","345.211,71","366.745,81","291.614,94","442.191,29","771.072,32","9.309,06","481.029,88","721.632,40","15.548,56","20.760,10","11.297,21","161.195,89","31.739,22","(50.299,01)","18.775,33","143.668,39","331.490,92"
"32000","MINISTERIO DE MINAS E ENERGIA","25","ENERGIA","752","ENERGIA ELETRICA","20LF","ESTUDOS DE INVENTARIO E VIABILIDADE PARA EXPANSAO DA GERACAO","","10.918,00","9.576,50","","2.958,00","0,00","327.144,94","262.075,97","150.040,55","149.140,55","900,00","8.580,00","99.340,00","20.241,80","93.588,85","8.500,00","119.372,46","0,00","18.756,74","0,00","0,00","218.480,36","315.529,42","0,00","240.978,89","140.797,26","1.830,00"
"32000","MINISTERIO DE MINAS E ENERGIA","25","ENERGIA","753","COMBUSTIVEIS MINERAIS","15BM","IMPLANTACAO DO CENTRO DE ROCHAS E FLUIDOS","","","","","33.776,06","3.562,50","0,00","29.456,75","0,00","0,00","0,00","0,00","9.349,00","0,00","0,00","","","","","","","","","","","47.962,50","0,00"
"32000","MINISTERIO DE MINAS E ENERGIA","25","ENERGIA","753","COMBUSTIVEIS MINERAIS","2050","SERVICOS DE GEOLOGIA E GEOFISICA APLICADOS A PROSPECCAO DE P","","851.496,00","104.247,50","3.435.263,94","4.449.535,92","1.000.000,00","18.136.372,34","5.962.883,06","5.645.455,44","4.948.562,22","4.352.480,70","3.075.015,47","14.458.983,30","2.037.947,37","12.726.572,93","","5.462.221,86","3.794.111,93","5.852.391,60","7.886.042,82","4.026.623,93","7.623.828,55","6.010.815,88","4.002.475,35","6.711.892,47","4.582.527,31","4.936.710,97"
