uf;municipio;data;eleitores
PA;canaa_dos_carajas;2015-12-19;26685
PA;capanema;2010-01-25;45256
PA;capitao_poco;2014-04-05;35807
PA;castanhal;2014-04-05;113568
PA;curuca;2013-08-31;27699
PA;marituba;2015-12-19;65588
PA;mojui_dos_campos;2016-03-26;16923
PA;paragominas;2013-10-05;65222
PA;parauapebas;2015-12-19;136953
PA;peixe_boi;2012-04-01;6788
PA;ponta_de_pedras;2015-11-28;18880
PA;primavera;2015-12-12;9649
PA;quatipuru;2015-12-12;9711
PA;santarem;2016-03-26;202179
PA;sao_joao_de_pirabas;2015-12-12;16433
PA;terra_alta;2013-08-31;9689
PA;tracuateua;2015-11-28;21923
PB;aguiar;2014-03-21;4616
PB;alagoa_nova;2016-03-18;15537
PB;alcantil;2016-03-18;4453
PB;algodao_de_jandaira;2016-03-18;2733
PB;amparo;2016-03-18;2216
PB;aparecida;2016-03-18;6566
PB;aracagi;2016-03-18;14670
PB;areia_de_baraunas;2016-03-18;1879
PB;areial;2016-03-18;5564
PB;assuncao;2016-03-18;3411
PB;bananeiras;2016-03-18;17780
PB;barra_de_santana;2016-03-18;7410
PB;barra_de_sao_miguel;2016-03-18;4487
PB;bayeux;2016-03-18;70354
PB;boa_ventura;2016-03-18;5238
PB;boa_vista;2014-03-21;5489
PB;boqueirao;2016-03-18;13279
PB;borborema;2016-03-18;4653
PB;cabaceiras;2016-03-18;4344
PB;cabedelo;2009-12-19;38345
PB;cacimba_de_areia;2016-03-18;3194
PB;cacimbas;2016-03-18;5316
PB;caicara;2014-03-21;6210
PB;cajazeirinhas;2016-03-18;3445
PB;camalau;2016-03-18;4977
PB;campina_grande;2014-03-21;279142
PB;capim;2014-03-21;4456
PB;caraubas;2016-03-18;3626
PB;catingueira;2014-03-21;4139
PB;caturite;2016-03-18;4422
PB;congo;2016-03-18;4600
PB;coxixola;2016-03-18;1708
PB;cubati;2016-03-18;5983
PB;cuite_de_mamanguape;2014-03-21;6147
PB;cuitegi;2016-03-18;5570
PB;curral_de_cima;2016-03-18;4941
PB;curral_velho;2016-03-18;2079
PB;desterro;2016-03-18;6785
PB;diamante;2016-03-18;5564
PB;dona_ines;2016-03-18;9187
PB;emas;2014-03-21;2790
PB;esperanca;2016-03-18;24739
PB;guarabira;2016-03-18;39697
PB;gurjao;2016-03-18;2966
PB;igaracy;2014-03-21;5694
PB;imaculada;2016-03-18;8537
PB;itaporanga;2016-03-18;17044
PB;itapororoca;2014-03-21;12565
PB;jacarau;2016-03-18;12650
PB;joao_pessoa;2014-03-21;479456
PB;juazeirinho;2016-03-18;12597
PB;junco_do_serido;2016-03-18;5196
PB;lagoa;2016-03-18;4340
PB;lagoa_de_dentro;2016-03-18;6028
PB;lagoa_seca;2014-03-21;19472
PB;lastro;2016-03-18;3214
PB;livramento;2016-03-18;5507
PB;logradouro;2014-03-21;3087
PB;lucena;2016-03-18;9974
PB;mae_d_agua;2016-03-18;3714
PB;mamanguape;2014-03-21;31637
PB;marizopolis;2016-03-18;5109
PB;massaranduba;2014-03-21;10097
PB;mataraca;2014-03-21;6411
PB;matinhas;2016-03-18;3906
PB;matureia;2016-03-18;5167
PB;montadas;2016-03-18;3981
PB;monteiro;2016-03-18;24026
PB;nazarezinho;2016-03-18;6195
PB;nova_olinda;2014-03-21;5116
PB;olho_d_agua;2014-03-21;6617
PB;olivedos;2016-03-18;3349
PB;parari;2016-03-18;1996
PB;passagem;2016-03-18;2240
PB;patos;2016-03-18;66382
PB;paulista;2016-03-18;9542
PB;pedra_branca;2016-03-18;3585
PB;pedras_de_fogo;2010-03-19;21501
PB;pedro_regis;2016-03-18;4522
PB;pianco;2012-03-23;11717
PB;piloes;2016-03-18;6769
PB;piloezinhos;2016-03-18;5170
PB;pombal;2016-03-18;24833
PB;quixaba;2016-03-18;1784
PB;remigio;2016-03-18;13332
PB;riacho_de_santo_antonio;2016-03-18;1884
PB;salgadinho;2016-03-18;2763
PB;santa_cruz;2016-03-18;5318
PB;santa_luzia;2016-03-18;11531
PB;santa_rita;2016-03-18;90540
PB;santa_teresinha;2016-03-18;4693
PB;santana_dos_garrotes;2012-03-23;6160
PB;santo_andre;2016-03-18;2584
PB;sao_bentinho;2016-03-18;3510
PB;sao_domingos;2016-03-18;2836
PB;sao_domingos_do_cariri;2016-03-18;2528
PB;sao_francisco;2016-03-18;3428
PB;sao_joao_do_cariri;2016-03-18;4064
PB;sao_joao_do_tigre;2016-03-18;3607
PB;sao_jose_da_lagoa_tapada;2016-03-18;6266
PB;sao_jose_de_caiana;2016-03-18;4997
PB;sao_jose_de_espinharas;2016-03-18;3912
PB;sao_jose_do_bonfim;2016-03-18;3351
PB;sao_jose_do_sabugi;2016-03-18;3634
PB;sao_jose_dos_cordeiros;2016-03-18;3099
PB;sao_mamede;2016-03-18;6400
PB;sao_sebastiao_de_lagoa_de_roca;2016-03-18;8697
PB;sao_sebastiao_do_umbuzeiro;2016-03-18;2857
PB;sao_vicente_do_serido;2016-03-18;8284
PB;serra_branca;2016-03-18;9908
PB;serra_da_raiz;2014-03-21;2518
PB;serra_grande;2016-03-18;2747
PB;soledade;2016-03-18;10782
PB;sousa;2016-03-18;46970
PB;sume;2016-03-18;12777
PB;taperoa;2016-03-18;10816
PB;teixeira;2016-03-18;10484
